GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ilp_submission_image,ilp_submission_3.ilp_submission_image.Configuration,WebSocketConfig,0,34,0,0,0,7,0,2,0,2
ilp_submission_image,ilp_submission_3.ilp_submission_image.Configuration,ILPEndpointProvider,5,10,3,1,1,4,2,2,0,2
ilp_submission_image,ilp_submission_3.ilp_submission_image.Configuration,AddConfig,0,7,0,0,0,2,0,2,0,2
ilp_submission_image,ilp_submission_3.ilp_submission_image.Controller,DroneController,3,69,1,1,1,19,1,8,0,8
ilp_submission_image,ilp_submission_3.ilp_submission_image.Controller,ILPController,10,315,7,45,4,43,7,28,0,9
ilp_submission_image,ilp_submission_3.ilp_submission_image.Controller,WebController,0,5,0,0,0,2,0,2,0,2
ilp_submission_image,ilp_submission_3.ilp_submission_image.Controller,MonitorController,0,29,0,2,0,9,0,3,0,2
ilp_submission_image,ilp_submission_3.ilp_submission_image.Controller,DataController,0,30,0,0,0,10,0,4,0,4
ilp_submission_image,ilp_submission_3.ilp_submission_image.Controller,HealthController,0,8,0,0,0,2,0,2,0,2
ilp_submission_image,ilp_submission_3.ilp_submission_image.WebSocket,PathfindingProgressHandler,36,140,2,8,10,35,3,10,1,7
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,PathfindingProgress,0,116,0,0,0,13,0,7,0,7
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,Position,0,9,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,DistanceRequest,0,9,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,DroneServicePoint,0,12,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,DroneForServicePoint.DroneAvailability.Availability,0,12,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,RestrictedArea.Limits,0,9,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,DeliveryPathResponse.DronePath,0,9,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,NextPositionRequest,0,9,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,DeliveryPathResponse.Delivery,0,9,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,DroneServicePoint.LngLatAlt,0,12,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,IsInRegionRequest.Region,0,9,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,DroneForServicePoint,0,9,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,MedDispatchRec.Requirements,0,15,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,RestrictedArea,0,15,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,DroneForServicePoint.DroneAvailability,0,9,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,Drone.Capability,0,24,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,QueryAttribute,0,12,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,IsInRegionRequest,0,9,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,MedDispatchRec,0,18,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,DeliveryPathResponse,0,12,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.dto,Drone,0,12,0,0,0,1,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.Service,PathPlanningServiceImpl.ServicePointDistance,0,9,0,0,0,4,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.Service,PathPlanningServiceImpl.DeliveryBatchResult,0,12,0,0,0,5,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.Service,PathPlanningServiceImpl,101,2929,80,350,34,585,77,182,0,44
ilp_submission_image,ilp_submission_3.ilp_submission_image.Service,DroneServiceImpl,38,1266,48,251,16,269,48,130,0,22
ilp_submission_image,ilp_submission_3.ilp_submission_image.Service,PathPlanningServiceImpl.AngleScore,0,9,0,0,0,4,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.Service,PathPlanningServiceImpl.AStarNode,0,12,0,0,0,5,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image.Service,ILPServiceImpl,0,359,1,31,0,73,1,22,0,7
ilp_submission_image,ilp_submission_3.ilp_submission_image.Service,PathPlanningServiceImpl.GreedyAssignment,0,18,0,0,0,7,0,1,0,1
ilp_submission_image,ilp_submission_3.ilp_submission_image,IlpSubmissionImageApplication,5,3,0,0,2,1,1,1,1,1
